"id" "age" "emp" "cmean_emp" "emp_prev" "ln_roa" "exit_term" "assp_soc_prev" "assp_soc" "assp_hist"
"2" 1 7 5 6 6 0.0434715822339058 0 6092196 6092196 2851705
"3" 1 8 4 5.5 5 0.003382233902812 0 6092196 6092196 -2230286
"4" 1 9 3 5 4 0.0147517286241055 0 6092196 6092196 2851705
"46" 5 8 74 71 71 0.0543342940509319 0 -1945013 -1945013 588161.09375
"47" 5 9 78 72.5 74 0.16097591817379 0 -1945013 -1945013 145209.875
"48" 5 10 67 74.3333333333333 78 0.169518366456032 0 -1945013 -1945013 257803.5
"49" 5 11 67 72.5 67 0.164063155651093 0 -1945013 -1945013 39455.625
"50" 5 12 63 71.4 67 0.139635369181633 0 -1945013 -1945013 245018.75
"51" 5 13 64 70 63 0.165103316307068 0 -1945013 -1945013 -85877.625
"52" 5 14 66 69.1428571428571 64 0.115470007061958 0 -1945013 -1945013 710524.625
"54" 6 14 10 15 15 0 0 6092196 6092196 2851705
"68" 8 8 1 5 5 0 1 -1069511 -949290.375 0
"76" 9 7 31 22 22 0 0 148036.875 6657.375 193056.375
"77" 9 8 35 26.5 31 0 0 114038.25 148036.875 47704.125
"78" 9 9 46 29.3333333333333 35 0.00793661084026098 0 -199698.625 114038.25 -207429.25
"79" 9 10 50 33.5 46 0.0821071937680244 0 -208040.625 -199698.625 183608.5
"88" 10 2 30 26 26 0.0802254378795624 0 -524228.1875 -599751.59375 10550.28125
"90" 11 8 2 50 50 0 0 -1069511 -949290.375 0
"92" 12 4 8 2 2 1.10007513285382e-05 0 -273886 -949290.375 795625
"93" 12 5 9 5 8 0 0 -1945013 -273886 239703.125
"94" 12 6 15 6.33333333333333 9 0 0 -1945013 -1945013 -11328.125
"95" 12 7 15 8.5 15 0.0210164319723845 0 -1945013 -1945013 101581.375
"96" 12 8 17 9.8 15 0.0524381585419178 0 -1945013 -1945013 -16477.875
"97" 12 9 27 11 17 0 0 -1945013 -1945013 -121945.125
"99" 13 5 4 5 5 0 0 -426197.75 -1092417.5625 1078051.8125
"101" 14 6 4 5 5 0.0212987642735243 0 6092196 4241655.375 2851705
"102" 14 7 4 4.5 4 0 0 6092196 6092196 393850
"104" 15 12 91 80 80 0.109903328120708 0 -44297.25 109695.5 -100162.375
"105" 15 13 79 85.5 91 0.00151899387128651 0 112058.375 -44297.25 272756
"106" 15 14 99 83.3333333333333 79 0.0141321439296007 0 -68271 112058.375 -137020.625
"109" 17 2 1 1 1 0.0507020875811577 0 -848404.125 -945328.75 417459
"119" 18 13 3 5 5 0.00193273508921266 0 -579491.6875 -792068.9375 300746.5
"120" 18 14 3 4 3 0.0021998651791364 0 -399763.125 -579491.6875 157724.3125
"122" 19 13 48 50 50 0.189172759652138 0 -1945013 -1945013 -22885.1044921875
"123" 19 14 47 49 48 0.0694995000958443 0 -1945013 -1945013 -9428.3955078125
"136" 21 8 707 656 656 0.109739869832993 0 6092196 6092196 -2230286
"145" 23 2 1 1 1 0 1 -1255137.125 -1121028.5 0
"146" 23 3 1 1 1 0 0 -1639593.25 -1255137.125 12744
"150" 25 10 190 203 203 0 0 -1945013 -1945013 732453.75
"151" 25 11 141 196.5 190 0.0121364332735538 0 -1945013 -1945013 -38870.25
"152" 25 12 142 178 141 0.00307451980188489 0 1347413 -1945013 -596278.25
"153" 25 13 137 169 142 0.00261419569142163 0 2145613.75 1347413 990151.25
"154" 25 14 139 162.6 137 0 0 1854884.75 2145613.75 -475957.5
"156" 26 8 53 45 45 0 0 -1945013 -1923561.25 -2230286
"157" 26 9 62 49 53 0 0 -1945013 -1945013 661478.125
"158" 26 10 68 53.3333333333333 62 0 0 -1945013 -1945013 -322463.0625
"159" 26 11 79 57 68 0 0 -1945013 -1945013 -267454.0625
"160" 26 12 70 61.4 79 NA 0 -1945013 -1945013 1811862.125
"161" 26 13 83 62.8333333333333 70 0.080387219786644 0 -1945013 -1945013 -1567987.25
"162" 26 14 84 65.7142857142857 83 0.0251777078956366 0 -1945013 -1945013 290409.5
"165" 28 10 9 10 10 0 0 -1945013 -1945013 -78627.59375
"166" 28 11 7 9.5 9 0 0 -1945013 -1945013 62232.15625
"167" 28 12 5 8.66666666666667 7 0 0 -1945013 -1945013 91528.03125
"168" 28 13 1 7.75 5 0 0 -1945013 -1945013 -469650.1875
"173" 29 9 10 14 14 0.053650014102459 0 -1945013 -1945013 -437.142852783203
"174" 29 10 13 12 10 0.061998825520277 0 -1945013 -1945013 555343.875
"175" 29 11 14 12.3333333333333 13 0.0605584494769573 0 -1945013 -1945013 -25957.4375
"176" 29 12 12 12.75 14 0.0660774186253548 0 -1945013 -1945013 107046.0625
"177" 29 13 12 12.6 12 0.066207192838192 0 -1945013 -1945013 22713
"179" 30 13 19 14 14 0.00687212590128183 0 -1945013 -1945013 -785337.875
"180" 30 14 17 16.5 19 0.00033646117663011 0 -1945013 -1945013 1928999.625
"183" 32 3 1 2 2 0 0 -39290.375 -939429.875 910000
"200" 35 12 4 4 4 0 0 -1945013 -1945013 718994.5
"201" 35 13 1 4 4 0 0 -1945013 -1945013 580986.5
"202" 35 14 1 3 1 0 0 -1945013 -1945013 2370751
"217" 37 2 15 8 8 0 1 -1353337.4609375 -980307.25 -52495.8359375
"219" 38 5 113 112 112 0.0109216496348381 0 -379711.4375 -448284.3125 174880.5
"220" 38 6 101 112.5 113 0.0215649548918009 0 -476095.1875 -379711.4375 95566.75
"221" 38 7 111 108.666666666667 101 0 0 -358191.8125 -476095.1875 -67325.125
"223" 39 12 28 30 30 8.24675735202618e-05 0 -1945013 -1945013 0
"224" 39 13 26 29 28 0.0481993481516838 0 -1945013 -1945013 0
"225" 39 14 27 28 26 0.0051583806052804 0 -1945013 -1945013 0
"227" 40 9 4 3 3 0.0303702279925346 0 -1945013 -1945013 0
"229" 41 10 5 6 6 0 0 -1945013 -1945013 0
"230" 41 11 4 5.5 5 0 0 -1945013 -1945013 0
"231" 41 12 4 5 4 0.00480228895321488 0 -1945013 -1945013 0
"232" 41 13 5 4.75 4 0.000618631311226636 0 -1945013 -1945013 198111.40625
"233" 41 14 7 4.8 5 1.65680939971935e-05 0 -1945013 -1945013 -65674.828125
"241" 42 3 1 1 1 0.140418037772179 0 -738753.1875 -723466.8125 -27000
"242" 42 4 1 1 1 0.346453011035919 0 -657324.375 -738753.1875 85000
"244" 43 10 692 730 730 0 0 1345504.3125 1398399.25 -16882
"245" 43 11 631 711 692 0 0 1411026.875 1345504.3125 94377.25
"246" 43 12 634 684.333333333333 631 0 0 1521052 1411026.875 163855.5
"247" 43 13 650 671.75 634 0 0 2751528.875 1521052 1346877.25
"248" 43 14 677 667.4 650 0 0 1509970.625 2751528.875 -1198249.5
"253" 44 9 4 4 4 0.00588772678747773 0 412744.875 1854069.5 -1450718.75
"254" 44 10 5 4 4 0.0506101883947849 0 573540.75 412744.875 241753.25
"255" 44 11 5 4.33333333333333 5 0.00152043788693845 1 943029.125 573540.75 380347.75
"256" 44 12 5 4.5 5 0.076058492064476 0 1455527.375 943029.125 515907.5
"257" 44 13 5 4.6 5 0.00458535784855485 0 1216097.625 1455527.375 -151260.5
"258" 44 14 4 4.66666666666667 5 0 0 761927.875 1216097.625 -476174
"260" 45 4 31 31 31 0.0124252866953611 0 1074424.75 48340.625 1054315.25
"261" 45 5 40 31 31 0.0399506986141205 0 499345.5 1074424.75 -485289.75
"273" 46 12 4 4 4 0 0 -526218.625 -297619.3125 -28326
"274" 46 13 1 4 4 0.219898104667664 0 551065.75 -526218.625 1197562
"277" 48 9 3 3 3 0.026704516261816 0 -1945013 -1945013 2432454.25
"278" 48 10 1 3 3 0.0307193733751774 0 -1945013 -1945013 -2230286
"279" 48 11 129 2.33333333333333 1 0 1 -1945013 -1945013 1183415.75
"283" 51 2 5 5 5 0.000594668148551136 0 3231006.25 -1204698.25 2851705
"284" 51 3 6 5 5 0 0 2754867 3231006.25 -661367.75
"286" 52 12 1 1 1 0 0 -1945013 -1945013 53639
"287" 52 13 3 1 1 0 0 -1945013 -1945013 753207
"290" 54 2 1 2 2 0 0 2133582.75 -899244.625 2851705
"291" 54 3 1 1.5 1 0.0595511198043823 0 2295161.875 2133582.75 96606
"302" 55 11 2 10 10 0.404531568288803 0 -1945013 -1945013 1938772.6875
"303" 55 12 2 6 2 0 0 -1945013 -1945013 -662552
"304" 55 13 2 4.66666666666667 2 0.00460229720920324 0 -1945013 -1945013 -344760.5
"305" 55 14 2 4 2 0.0244592167437077 0 -1945013 -1945013 -844463.5
"321" 57 14 31 37 37 0 0 -1945013 -1945013 430475.1875
"323" 58 2 2 1 1 0.0625629723072052 1 -480346.875 -426327.875 -44158.5
"324" 58 3 3 1.5 2 0.279270887374878 0 -728380 -480346.875 -127812.5
"325" 58 4 1 2 3 0.00369699043221772 0 -301639.875 -728380 478417
"326" 58 5 3 1.75 1 0.0469523556530476 0 -810694.28125 -301639.875 -427351.65625
"327" 58 6 3 2 3 0.0681312307715416 0 -914000.59375 -810694.28125 3001.3125
"329" 59 10 1 4 4 0.0653278678655624 0 6092196 6092196 2851705
"330" 59 11 1 2.5 1 0.0267233401536942 0 6092196 6092196 -2230286
"340" 61 6 41 69 69 2.26159739494324 0 1719109.75 1001390.25 532491
"342" 62 10 48 54 54 0 0 6092196 6092196 350270
"343" 62 11 51 51 48 4.42708278569626e-06 0 6092196 6092196 -613204
"344" 62 12 55 51 51 2.81450365946512e-06 0 6092196 6092196 2269607
"345" 62 13 43 52 55 0.0414409376680851 0 6092196 6092196 2851705
"346" 62 14 47 50.2 43 0 0 6092196 6092196 -2003042
"355" 65 2 1 1 1 0.207708552479744 0 -574335.375 -510025.625 -21001
"360" 66 8 6 4 4 0.0238191541284323 0 -665855.46875 -407504.75 -272718.34375
"361" 66 9 4 5 6 0.0369404666125774 0 -79007.5 -665855.46875 273444.59375
"362" 66 10 3 4.66666666666667 4 0.0660969614982605 0 -200325.0625 -79007.5 197659.9375
"363" 66 11 3 4.25 3 0.0535848326981068 0 52753.5625 -200325.0625 -55276.375
"364" 66 12 3 4 3 0.0919663310050964 0 -339548.5625 52753.5625 -24612
"365" 66 13 3 3.83333333333333 3 0.0662938579916954 0 -539126.8125 -339548.5625 -128319.625
"367" 67 11 2 2 2 0 0 645594.875 122963.625 604334
"368" 67 12 3 2 2 0.0212317910045385 0 243883.75 645594.875 -295403.5
"369" 67 13 3 2.33333333333333 3 0.0754435211420059 0 5593.25 243883.75 -46340
"370" 67 14 3 2.5 3 0.0278297327458858 0 358225.75 5593.25 167404
"372" 68 2 243 176 176 0.000755606684833765 0 -67204.8125 -409420.671875 421648.046875
"373" 68 3 280 209.5 243 0.00300306547433138 0 -149539.125 -67204.8125 117939
"374" 68 4 346 233 280 7.53762942622416e-05 0 -204019.5625 -149539.125 65797.1875
"375" 68 5 349 261.25 346 0 0 16282.5625 -204019.5625 155329
"382" 71 5 1 1 1 0 1 -1945013 -1945013 -2e+05
"400" 73 5 4 3 3 0.00943507440388203 1 1217977 1464537.25 -431788.75
"405" 74 2 2 1 1 0.138296157121658 0 -285779.5 -144879.8125 -105666
"406" 74 3 1 1.5 2 0.00966440420597792 0 -46272.125 -285779.5 234651
"407" 74 4 1 1.33333333333333 1 0.0130203040316701 0 -102131.3125 -46272.125 23573
"408" 74 5 1 1.25 1 0.0278682950884104 0 -293790.625 -102131.3125 8614
"410" 75 7 1 32 32 0 0 6092196 -523144 2851705
"412" 76 12 28 28 28 0 0 -1945013 -1945013 -30820.56640625
"413" 76 13 32 28 28 9.9451164714992e-05 0 -1945013 -1945013 -42857.14453125
"414" 76 14 44 29.3333333333333 32 0.000643566076178104 0 -1945013 -1945013 0
"438" 79 10 34 27 27 0 0 -122287.875 -190704.75 104429.8125
"439" 79 11 36 30.5 34 0 0 -55331.75 -122287.875 95810.8125
"440" 79 12 39 32.3333333333333 36 0 0 -94235.9375 -55331.75 14926.1875
"441" 79 13 36 34 39 0.0667082369327545 0 54222.375 -94235.9375 264858.6875
"442" 79 14 36 34.4 36 0.186665281653404 0 21402.5 54222.375 10488.875
"446" 80 2 1 1 1 0.0902289226651192 0 -393827.25 -267972.5625 200491
"447" 80 3 1 1 1 0 0 -711280.625 -393827.25 -331821
"448" 80 4 1 1 1 0 1 -664426.75 -711280.625 52428
"449" 80 5 1 1 1 0 0 -237536.75 -664426.75 118535
"450" 80 6 1 1 1 0 0 -952560.875 -237536.75 -347334
"452" 81 9 10 12 12 0 0 -1945013 -1945013 -120886.921875
"453" 81 10 11 11 10 0 0 -1945013 -1945013 -27400
"454" 81 11 7 11 11 0 0 -1945013 -1945013 898600
"455" 81 12 4 10 7 0 0 -1945013 -1945013 -434150
"456" 81 13 1 8.8 4 0.0102909794077277 0 -1945013 -1945013 -455755
"457" 81 14 1 7.5 1 0 0 -1945013 -1945013 1692
"459" 82 2 3 1 1 0 0 1262583.5 3640636.25 -2230286
"467" 83 4 5 1 1 0 0 -1860421.375 -1945013 90700
"468" 83 5 5 3 5 0 0 -1777934.328125 -1860421.375 109299.796875
"469" 83 6 1 3.66666666666667 5 0 0 -1861158.25 -1777934.328125 146280.203125
"472" 85 13 200 202 202 0 0 -127595.25 -148729.1875 146403.625
"473" 85 14 190 201 200 0 0 -56427.0625 -127595.25 -45785.375
"475" 86 8 24 31 31 0.0352002419531345 0 -1945013 -1945013 110096.25
